date,product,category,price,discount,quantity_sold,profit,profit_margin,event
2022-01-09,Thermaltake Pacific CL360,Custom Liquid Cooler,275.99,8%,1126,114848.17,0.42,New Year's Sale
2022-01-10,Noctua NH-D15,Air Cooler,83.69,7%,1366,28273.06,0.3,New Year's Sale
2022-01-10,Dark Rock Pro 4,Air Cooler,75.99,5%,1273,23420.27,0.28,New Year's Sale
2022-01-10,Corsair H100i,Liquid AIO Cooler,119.59,8%,1086,38115.67,0.35,New Year's Sale
2022-01-10,NZXT Kraken X63,Liquid AIO Cooler,128.79,8%,964,33737.59,0.33,New Year's Sale
2022-01-10,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,690,57957.58,0.4,New Year's Sale
2022-01-10,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1116,123871.87,0.42,New Year's Sale
2022-01-11,Noctua NH-D15,Air Cooler,82.79,8%,1412,27954.49,0.3,New Year's Sale
2022-01-11,Dark Rock Pro 4,Air Cooler,73.59,8%,1323,21165.35,0.28,New Year's Sale
2022-01-11,Corsair H100i,Liquid AIO Cooler,123.49,5%,1062,41414.81,0.35,New Year's Sale
2022-01-11,NZXT Kraken X63,Liquid AIO Cooler,132.99,5%,960,37629.31,0.33,New Year's Sale
2022-01-11,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,685,57537.6,0.4,New Year's Sale
2022-01-11,Thermaltake Pacific CL360,Custom Liquid Cooler,272.99,9%,1171,115925.14,0.42,New Year's Sale
2022-01-12,Noctua NH-D15,Air Cooler,85.49,5%,1376,30956.56,0.3,New Year's Sale
2022-01-12,Dark Rock Pro 4,Air Cooler,71.99,10%,1307,18818.45,0.28,New Year's Sale
2022-01-12,Corsair H100i,Liquid AIO Cooler,116.99,10%,1112,36137.22,0.35,New Year's Sale
2022-01-12,NZXT Kraken X63,Liquid AIO Cooler,128.79,8%,998,34927.51,0.33,New Year's Sale
2022-01-12,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,688,57789.59,0.4,New Year's Sale
2022-01-12,Thermaltake Pacific CL360,Custom Liquid Cooler,281.99,6%,1125,121495.95,0.42,New Year's Sale
2022-01-13,Noctua NH-D15,Air Cooler,84.59,6%,1372,29631.91,0.3,New Year's Sale
2022-01-13,Dark Rock Pro 4,Air Cooler,71.99,10%,1313,18904.84,0.28,New Year's Sale
2022-01-13,Corsair H100i,Liquid AIO Cooler,123.49,5%,1048,40868.86,0.35,New Year's Sale
2022-01-13,NZXT Kraken X63,Liquid AIO Cooler,128.79,8%,982,34367.55,0.33,New Year's Sale
2022-01-13,EKWB EK-KIT P240,Custom Liquid Cooler,215.99,10%,741,53349.78,0.4,New Year's Sale
2022-01-13,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1103,122428.92,0.42,New Year's Sale
2022-01-14,Noctua NH-D15,Air Cooler,84.59,6%,1368,29545.52,0.3,New Year's Sale
2022-01-14,Dark Rock Pro 4,Air Cooler,73.59,8%,1277,20429.45,0.28,New Year's Sale
2022-01-14,Corsair H100i,Liquid AIO Cooler,116.99,10%,1120,36397.2,0.35,New Year's Sale
2022-01-14,NZXT Kraken X63,Liquid AIO Cooler,127.39,9%,1014,34067.97,0.33,New Year's Sale
2022-01-14,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,691,58041.58,0.4,New Year's Sale
2022-01-14,Thermaltake Pacific CL360,Custom Liquid Cooler,275.99,8%,1143,116582.11,0.42,New Year's Sale
2022-01-15,Noctua NH-D15,Air Cooler,88.95,2%,1302,33802.41,0.3,No Promo
2022-01-15,Dark Rock Pro 4,Air Cooler,79.43,1%,1179,25750.19,0.28,No Promo
2022-01-15,Corsair H100i,Liquid AIO Cooler,129.48,0%,985,44308.19,0.35,No Promo
2022-01-15,NZXT Kraken X63,Liquid AIO Cooler,137.48,1%,909,39711.96,0.33,No Promo
2022-01-15,EKWB EK-KIT P240,Custom Liquid Cooler,234.99,2%,659,59969.06,0.4,No Promo
2022-01-15,Thermaltake Pacific CL360,Custom Liquid Cooler,298.76,1%,1066,132998.36,0.42,No Promo
2022-01-16,Noctua NH-D15,Air Cooler,88.36,1%,1276,32368.49,0.3,No Promo
2022-01-16,Dark Rock Pro 4,Air Cooler,79.42,1%,1196,26109.26,0.28,No Promo
2022-01-16,Corsair H100i,Liquid AIO Cooler,126.12,2%,1007,41916.82,0.35,No Promo
2022-01-16,NZXT Kraken X63,Liquid AIO Cooler,139.44,1%,878,40074.94,0.33,No Promo
2022-01-16,EKWB EK-KIT P240,Custom Liquid Cooler,234.62,3%,683,61899.74,0.4,No Promo
2022-01-16,Thermaltake Pacific CL360,Custom Liquid Cooler,293.82,2%,1048,125577.2,0.42,No Promo
2022-01-17,Noctua NH-D15,Air Cooler,89.32,0%,1269,33413.7,0.3,No Promo
2022-01-17,Dark Rock Pro 4,Air Cooler,77.88,2%,1205,24445.37,0.28,No Promo
2022-01-17,Corsair H100i,Liquid AIO Cooler,130.14,0%,990,45191.19,0.35,No Promo
2022-01-17,NZXT Kraken X63,Liquid AIO Cooler,137.52,1%,900,39356.76,0.33,No Promo
2022-01-17,EKWB EK-KIT P240,Custom Liquid Cooler,240.7,0%,664,64215.9,0.4,No Promo
2022-01-17,Thermaltake Pacific CL360,Custom Liquid Cooler,291.36,3%,1082,126991.86,0.42,No Promo
2022-01-18,Noctua NH-D15,Air Cooler,88.54,2%,1339,34212.8,0.3,No Promo
2022-01-18,Dark Rock Pro 4,Air Cooler,78.95,1%,1184,25286.77,0.28,No Promo
2022-01-18,Corsair H100i,Liquid AIO Cooler,127.84,1%,1002,43431.44,0.35,No Promo
2022-01-18,NZXT Kraken X63,Liquid AIO Cooler,138.43,1%,885,39499.13,0.33,No Promo
2022-01-18,EKWB EK-KIT P240,Custom Liquid Cooler,230.63,3%,665,57612.05,0.4,No Promo
2022-01-18,Thermaltake Pacific CL360,Custom Liquid Cooler,295.58,1%,1062,129120.22,0.42,No Promo
2022-01-19,Noctua NH-D15,Air Cooler,87.41,3%,1331,32496.65,0.3,No Promo
2022-01-19,Dark Rock Pro 4,Air Cooler,77.63,2%,1221,24470.33,0.28,No Promo
2022-01-19,Corsair H100i,Liquid AIO Cooler,130.32,0%,991,45413.99,0.35,No Promo
2022-01-19,NZXT Kraken X63,Liquid AIO Cooler,139.81,1%,885,40724.14,0.33,No Promo
2022-01-19,EKWB EK-KIT P240,Custom Liquid Cooler,234.45,3%,666,60242.24,0.4,No Promo
2022-01-19,Thermaltake Pacific CL360,Custom Liquid Cooler,301.24,0%,1032,131316.3,0.42,No Promo
2022-01-20,Noctua NH-D15,Air Cooler,90.16,0%,1277,34694.98,0.3,No Promo
2022-01-20,Dark Rock Pro 4,Air Cooler,78.51,2%,1230,25732.86,0.28,No Promo
2022-01-20,Corsair H100i,Liquid AIO Cooler,125.78,3%,1041,42975.5,0.35,No Promo
2022-01-20,NZXT Kraken X63,Liquid AIO Cooler,141.12,0%,889,42070.3,0.33,No Promo
2022-01-20,EKWB EK-KIT P240,Custom Liquid Cooler,241.13,0%,644,62558.49,0.4,No Promo
2022-01-20,Thermaltake Pacific CL360,Custom Liquid Cooler,292.25,2%,1055,124760.8,0.42,No Promo
2022-01-21,Noctua NH-D15,Air Cooler,89.85,0%,1297,34832.52,0.3,No Promo
2022-01-21,Dark Rock Pro 4,Air Cooler,77.4,3%,1220,24159.85,0.28,No Promo
2022-01-21,Corsair H100i,Liquid AIO Cooler,129.12,0%,974,43465.72,0.35,No Promo
2022-01-21,NZXT Kraken X63,Liquid AIO Cooler,136.64,3%,906,38820.63,0.33,No Promo
2022-01-21,EKWB EK-KIT P240,Custom Liquid Cooler,233.91,2%,660,59342.32,0.4,No Promo
2022-01-21,Thermaltake Pacific CL360,Custom Liquid Cooler,290.1,3%,1083,125737.17,0.42,No Promo
2022-01-22,Noctua NH-D15,Air Cooler,88.43,1%,1283,32637.45,0.3,No Promo
2022-01-22,Dark Rock Pro 4,Air Cooler,78.05,2%,1234,25239.97,0.28,No Promo
2022-01-22,Corsair H100i,Liquid AIO Cooler,127.83,2%,996,43160.63,0.35,No Promo
2022-01-22,NZXT Kraken X63,Liquid AIO Cooler,135.84,2%,910,38265.34,0.33,No Promo
2022-01-22,EKWB EK-KIT P240,Custom Liquid Cooler,237.45,0%,644,60187.16,0.4,No Promo
2022-01-22,Thermaltake Pacific CL360,Custom Liquid Cooler,295.01,1%,1037,125490.79,0.42,No Promo
2022-01-23,Noctua NH-D15,Air Cooler,89.06,1%,1275,33229.65,0.3,No Promo
2022-01-23,Dark Rock Pro 4,Air Cooler,79.52,1%,1187,26030.27,0.28,No Promo
2022-01-23,Corsair H100i,Liquid AIO Cooler,126.39,2%,1013,42440.33,0.35,No Promo
2022-01-23,NZXT Kraken X63,Liquid AIO Cooler,136.88,3%,934,40244.34,0.33,No Promo
2022-01-23,EKWB EK-KIT P240,Custom Liquid Cooler,235.9,1%,659,60564.49,0.4,No Promo
2022-01-23,Thermaltake Pacific CL360,Custom Liquid Cooler,296.19,2%,1085,132579.36,0.42,No Promo
2022-01-24,Noctua NH-D15,Air Cooler,89.83,0%,1297,34807.77,0.3,No Promo
2022-01-24,Dark Rock Pro 4,Air Cooler,77.95,2%,1229,25017.28,0.28,No Promo
2022-01-24,Corsair H100i,Liquid AIO Cooler,129.2,1%,1018,45510.7,0.35,No Promo
2022-01-24,NZXT Kraken X63,Liquid AIO Cooler,134.63,3%,938,38307.14,0.33,No Promo
2022-01-24,EKWB EK-KIT P240,Custom Liquid Cooler,236.03,2%,655,60282.51,0.4,No Promo
2022-01-24,Thermaltake Pacific CL360,Custom Liquid Cooler,292.78,2%,1051,124841.43,0.42,No Promo
2022-01-25,Noctua NH-D15,Air Cooler,88.6,1%,1295,33156.92,0.3,No Promo
2022-01-25,Dark Rock Pro 4,Air Cooler,77.84,2%,1193,24156.16,0.28,No Promo
2022-01-25,Corsair H100i,Liquid AIO Cooler,129.97,0%,980,44571.56,0.35,No Promo
2022-01-25,NZXT Kraken X63,Liquid AIO Cooler,139.51,1%,905,41371.27,0.33,No Promo
2022-01-25,EKWB EK-KIT P240,Custom Liquid Cooler,231.97,3%,671,59034.51,0.4,No Promo
2022-01-25,Thermaltake Pacific CL360,Custom Liquid Cooler,297.94,0%,1025,127040.23,0.42,No Promo
2022-01-26,Noctua NH-D15,Air Cooler,90.67,0%,1261,34899.27,0.3,No Promo
2022-01-26,Dark Rock Pro 4,Air Cooler,79.5,1%,1181,25871.48,0.28,No Promo
2022-01-26,Corsair H100i,Liquid AIO Cooler,126.56,2%,1020,42912.63,0.35,No Promo
2022-01-26,NZXT Kraken X63,Liquid AIO Cooler,139.07,0%,880,39841.88,0.33,No Promo
2022-01-26,EKWB EK-KIT P240,Custom Liquid Cooler,236.39,2%,665,61440.33,0.4,No Promo
2022-01-26,Thermaltake Pacific CL360,Custom Liquid Cooler,298.16,0%,1025,127274.14,0.42,No Promo
2022-01-27,Noctua NH-D15,Air Cooler,89.81,0%,1285,34463.37,0.3,No Promo
2022-01-27,Dark Rock Pro 4,Air Cooler,79.0,1%,1207,25840.85,0.28,No Promo
2022-01-27,Corsair H100i,Liquid AIO Cooler,128.1,2%,1010,44038.74,0.35,No Promo
2022-01-27,NZXT Kraken X63,Liquid AIO Cooler,134.72,3%,931,38104.6,0.33,No Promo
2022-01-27,EKWB EK-KIT P240,Custom Liquid Cooler,235.59,2%,660,60452.75,0.4,No Promo
2022-01-27,Thermaltake Pacific CL360,Custom Liquid Cooler,301.2,0%,1029,130896.73,0.42,No Promo
2022-01-28,Noctua NH-D15,Air Cooler,88.19,1%,1275,32127.69,0.3,No Promo
2022-01-28,Dark Rock Pro 4,Air Cooler,79.66,0%,1169,25800.9,0.28,No Promo
2022-01-28,Corsair H100i,Liquid AIO Cooler,130.9,0%,995,46173.17,0.35,No Promo
2022-01-28,NZXT Kraken X63,Liquid AIO Cooler,134.44,3%,921,37435.09,0.33,No Promo
2022-01-28,EKWB EK-KIT P240,Custom Liquid Cooler,232.39,3%,674,59577.04,0.4,No Promo
2022-01-28,Thermaltake Pacific CL360,Custom Liquid Cooler,294.4,2%,1047,126068.91,0.42,No Promo
2022-01-29,Noctua NH-D15,Air Cooler,88.11,2%,1297,32580.84,0.3,No Promo
2022-01-29,Dark Rock Pro 4,Air Cooler,79.32,1%,1187,25788.33,0.28,No Promo
2022-01-29,Corsair H100i,Liquid AIO Cooler,129.28,0%,973,43575.07,0.35,No Promo
2022-01-29,NZXT Kraken X63,Liquid AIO Cooler,138.84,0%,897,40403.12,0.33,No Promo
2022-01-29,EKWB EK-KIT P240,Custom Liquid Cooler,232.81,2%,680,60391.97,0.4,No Promo
2022-01-29,Thermaltake Pacific CL360,Custom Liquid Cooler,293.16,2%,1076,128221.65,0.42,No Promo
2022-01-30,Noctua NH-D15,Air Cooler,87.3,2%,1311,31864.11,0.3,No Promo
2022-01-30,Dark Rock Pro 4,Air Cooler,78.55,2%,1204,25227.37,0.28,No Promo
2022-01-30,Corsair H100i,Liquid AIO Cooler,128.5,0%,996,43833.42,0.35,No Promo
2022-01-30,NZXT Kraken X63,Liquid AIO Cooler,138.76,0%,893,40156.6,0.33,No Promo
2022-01-30,EKWB EK-KIT P240,Custom Liquid Cooler,231.08,3%,677,58959.58,0.4,No Promo
2022-01-30,Thermaltake Pacific CL360,Custom Liquid Cooler,295.5,2%,1065,129405.12,0.42,No Promo
2022-01-31,Noctua NH-D15,Air Cooler,87.33,3%,1348,32803.2,0.3,No Promo
2022-01-31,Dark Rock Pro 4,Air Cooler,79.68,1%,1213,26789.29,0.28,No Promo
2022-01-31,Corsair H100i,Liquid AIO Cooler,127.39,1%,1005,43112.01,0.35,No Promo
2022-01-31,NZXT Kraken X63,Liquid AIO Cooler,137.1,1%,893,38675.8,0.33,No Promo
2022-01-31,EKWB EK-KIT P240,Custom Liquid Cooler,235.79,2%,674,61869.64,0.4,No Promo
2022-01-31,Thermaltake Pacific CL360,Custom Liquid Cooler,302.14,0%,1033,132372.87,0.42,No Promo
2022-02-01,Noctua NH-D15,Air Cooler,87.82,2%,1316,32676.69,0.3,No Promo
2022-02-01,Dark Rock Pro 4,Air Cooler,79.67,0%,1204,26583.8,0.28,No Promo
2022-02-01,Corsair H100i,Liquid AIO Cooler,127.41,2%,996,42747.85,0.35,No Promo
2022-02-01,NZXT Kraken X63,Liquid AIO Cooler,138.19,1%,889,39465.22,0.33,No Promo
2022-02-01,EKWB EK-KIT P240,Custom Liquid Cooler,238.25,0%,661,62303.9,0.4,No Promo
2022-02-01,Thermaltake Pacific CL360,Custom Liquid Cooler,290.56,2%,1064,124025.77,0.42,No Promo
2022-02-02,Noctua NH-D15,Air Cooler,87.19,3%,1304,31557.34,0.3,No Promo
2022-02-02,Dark Rock Pro 4,Air Cooler,77.85,2%,1194,24183.81,0.28,No Promo
2022-02-02,Corsair H100i,Liquid AIO Cooler,128.41,1%,1019,44750.57,0.35,No Promo
2022-02-02,NZXT Kraken X63,Liquid AIO Cooler,141.04,0%,900,42517.7,0.33,No Promo
2022-02-02,EKWB EK-KIT P240,Custom Liquid Cooler,236.21,1%,669,61695.32,0.4,No Promo
2022-02-02,Thermaltake Pacific CL360,Custom Liquid Cooler,290.35,3%,1102,128226.31,0.42,No Promo
2022-02-03,Noctua NH-D15,Air Cooler,87.68,2%,1331,32864.01,0.3,No Promo
2022-02-03,Dark Rock Pro 4,Air Cooler,77.83,2%,1220,24687.95,0.28,No Promo
2022-02-03,Corsair H100i,Liquid AIO Cooler,128.78,1%,1017,45036.06,0.35,No Promo
2022-02-03,NZXT Kraken X63,Liquid AIO Cooler,135.31,3%,922,38281.14,0.33,No Promo
2022-02-03,EKWB EK-KIT P240,Custom Liquid Cooler,238.64,1%,666,63037.29,0.4,No Promo
2022-02-03,Thermaltake Pacific CL360,Custom Liquid Cooler,295.57,1%,1067,129720.79,0.42,No Promo
2022-02-04,Noctua NH-D15,Air Cooler,86.94,3%,1342,32133.1,0.3,No Promo
2022-02-04,Dark Rock Pro 4,Air Cooler,79.59,0%,1199,26372.44,0.28,No Promo
2022-02-04,Corsair H100i,Liquid AIO Cooler,129.42,0%,994,44660.16,0.35,No Promo
2022-02-04,NZXT Kraken X63,Liquid AIO Cooler,137.75,1%,913,40132.6,0.33,No Promo
2022-02-04,EKWB EK-KIT P240,Custom Liquid Cooler,238.21,0%,652,61427.76,0.4,No Promo
2022-02-04,Thermaltake Pacific CL360,Custom Liquid Cooler,294.82,1%,1062,128312.6,0.42,No Promo
2022-02-05,Noctua NH-D15,Air Cooler,90.51,0%,1266,34840.54,0.3,No Promo
2022-02-05,Dark Rock Pro 4,Air Cooler,78.63,1%,1192,25079.45,0.28,No Promo
2022-02-05,Corsair H100i,Liquid AIO Cooler,127.92,1%,1007,43728.03,0.35,No Promo
2022-02-05,NZXT Kraken X63,Liquid AIO Cooler,137.34,1%,894,38927.48,0.33,No Promo
2022-02-05,EKWB EK-KIT P240,Custom Liquid Cooler,241.24,0%,647,62916.83,0.4,No Promo
2022-02-05,Thermaltake Pacific CL360,Custom Liquid Cooler,299.25,0%,1058,132525.21,0.42,No Promo
2022-02-06,Noctua NH-D15,Air Cooler,87.16,3%,1330,32137.54,0.3,No Promo
2022-02-06,Dark Rock Pro 4,Air Cooler,77.78,3%,1236,24956.93,0.28,No Promo
2022-02-06,Corsair H100i,Liquid AIO Cooler,124.85,3%,1034,41727.58,0.35,No Promo
2022-02-06,NZXT Kraken X63,Liquid AIO Cooler,138.44,0%,876,39111.87,0.33,No Promo
2022-02-06,EKWB EK-KIT P240,Custom Liquid Cooler,234.36,2%,674,60903.97,0.4,No Promo
2022-02-06,Thermaltake Pacific CL360,Custom Liquid Cooler,299.86,0%,1035,130274.36,0.42,No Promo
2022-02-07,Noctua NH-D15,Air Cooler,83.69,7%,1362,28190.27,0.3,Valentine's Day
2022-02-07,Dark Rock Pro 4,Air Cooler,76.79,4%,1243,23862.62,0.28,Valentine's Day
2022-02-07,Corsair H100i,Liquid AIO Cooler,126.09,3%,1011,42054.36,0.35,Valentine's Day
2022-02-07,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,910,38217.27,0.33,Valentine's Day
2022-02-07,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,695,58377.57,0.4,Valentine's Day
2022-02-07,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1098,121873.94,0.42,Valentine's Day
2022-02-08,Noctua NH-D15,Air Cooler,83.69,7%,1381,28583.52,0.3,Valentine's Day
2022-02-08,Dark Rock Pro 4,Air Cooler,77.59,3%,1246,24916.89,0.28,Valentine's Day
2022-02-08,Corsair H100i,Liquid AIO Cooler,126.09,3%,1018,42345.54,0.35,Valentine's Day
2022-02-08,NZXT Kraken X63,Liquid AIO Cooler,131.59,6%,973,36776.77,0.33,Valentine's Day
2022-02-08,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,700,58797.55,0.4,Valentine's Day
2022-02-08,Thermaltake Pacific CL360,Custom Liquid Cooler,281.99,6%,1114,120307.99,0.42,Valentine's Day
2022-02-09,Noctua NH-D15,Air Cooler,87.29,3%,1348,32752.76,0.3,Valentine's Day
2022-02-09,Dark Rock Pro 4,Air Cooler,75.19,6%,1257,22120.43,0.28,Valentine's Day
2022-02-09,Corsair H100i,Liquid AIO Cooler,122.19,6%,1047,39468.86,0.35,Valentine's Day
2022-02-09,NZXT Kraken X63,Liquid AIO Cooler,132.99,5%,946,37080.55,0.33,Valentine's Day
2022-02-09,EKWB EK-KIT P240,Custom Liquid Cooler,225.59,6%,707,57688.8,0.4,Valentine's Day
2022-02-09,Thermaltake Pacific CL360,Custom Liquid Cooler,278.99,7%,1155,121270.96,0.42,Valentine's Day
2022-02-10,Noctua NH-D15,Air Cooler,85.49,5%,1341,30169.15,0.3,Valentine's Day
2022-02-10,Dark Rock Pro 4,Air Cooler,76.79,4%,1243,23862.62,0.28,Valentine's Day
2022-02-10,Corsair H100i,Liquid AIO Cooler,124.79,4%,1029,41465.51,0.35,Valentine's Day
2022-02-10,NZXT Kraken X63,Liquid AIO Cooler,131.59,6%,956,36134.22,0.33,Valentine's Day
2022-02-10,EKWB EK-KIT P240,Custom Liquid Cooler,227.99,5%,695,58377.57,0.4,Valentine's Day
2022-02-10,Thermaltake Pacific CL360,Custom Liquid Cooler,284.99,5%,1089,120874.97,0.42,Valentine's Day
2022-02-11,Noctua NH-D15,Air Cooler,86.39,4%,1325,31001.55,0.3,Valentine's Day
2022-02-11,Dark Rock Pro 4,Air Cooler,74.39,7%,1305,21921.26,0.28,Valentine's Day
2022-02-11,Corsair H100i,Liquid AIO Cooler,124.79,4%,1029,41465.51,0.35,Valentine's Day
2022-02-11,NZXT Kraken X63,Liquid AIO Cooler,130.19,7%,956,34795.91,0.33,Valentine's Day
2022-02-11,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,682,60559.08,0.4,Valentine's Day
2022-02-11,Thermaltake Pacific CL360,Custom Liquid Cooler,278.99,7%,1130,118646.04,0.42,Valentine's Day
2022-02-12,Noctua NH-D15,Air Cooler,83.69,7%,1392,28811.2,0.3,Valentine's Day
2022-02-12,Dark Rock Pro 4,Air Cooler,75.99,5%,1272,23401.87,0.28,Valentine's Day
2022-02-12,Corsair H100i,Liquid AIO Cooler,122.19,6%,1078,40637.47,0.35,Valentine's Day
2022-02-12,NZXT Kraken X63,Liquid AIO Cooler,135.79,3%,926,38889.22,0.33,Valentine's Day
2022-02-12,EKWB EK-KIT P240,Custom Liquid Cooler,232.79,3%,684,60736.67,0.4,Valentine's Day
2022-02-12,Thermaltake Pacific CL360,Custom Liquid Cooler,278.99,7%,1137,119381.02,0.42,Valentine's Day
2022-02-13,Noctua NH-D15,Air Cooler,85.49,5%,1351,30394.12,0.3,Valentine's Day
